1.49	2.34
2.47	2.99
3.22	3.68
3.94	4.29
4.78	4.75
5.50	5.44
6.36	6.12
7.07	6.75
3.77	4.16
4.24	4.52
2.35	3.15
3.85	4.03
4.69	4.44
4.92	5.14
1.54	2.35
2.41	2.97
2.71	2.91
3.19	3.63
3.27	3.53
4.62	4.65
0.50	0.87
1.28	1.48
2.80	2.73
3.72	3.56
2.85	1.98
3.66	2.63
4.28	3.17
4.17	3.25
4.41	3.35
4.38	3.48
4.58	1.81
-1.24	-0.40
-0.65	0.14
-1.86	-1.79
0.19	1.13
-0.14	1.12
0.99	1.86
0.27	1.80
1.93	2.10
2.07	0.29
2.70	3.15
2.62	0.88
2.71	1.09
2.70	0.89
3.51	3.76
0.14	1.50
0.46	2.07
-0.16	0.73
1.13	2.90
1.97	3.01
2.63	2.95
-0.29	1.71
1.28	3.36
3.02	1.95
0.69	0.90
1.44	1.39
2.11	0.52
-0.70	0.95
0.14	1.68
0.33	1.62
0.82	2.31
0.95	2.48
1.73	3.20
1.64	2.66
2.61	3.75
2.16	1.35
-0.35	-0.58
0.39	0.29
1.22	0.89
2.06	1.50
2.61	2.08
0.04	-0.23
0.22	0.75
1.13	1.81
0.96	1.68
1.76	2.31
1.69	2.43
2.56	3.12
2.41	2.95
-0.41	0.30
0.38	0.90
0.37	2.08
-1.60	-0.76
1.04	1.71
0.68	2.34
2.36	3.89
0.64	0.75
0.30	0.08
1.22	0.01
1.51	1.41
1.63	1.66
1.66	1.39
2.26	1.01
-0.74	-0.04
-0.19	0.82
0.61	1.49
1.99	1.05
0.22	1.25
1.10	2.00
1.09	1.92
2.03	2.74
2.51	1.26
3.21	1.67
2.47	1.99
3.44	1.33
2.41	1.96
2.66	3.16
3.74	2.51
0.19	0.37
-0.94	0.13
-1.18	0.56
1.88	-1.22
1.88	-1.10
1.02	1.64
3.09	2.22
1.71	1.05
2.74	1.58
1.95	2.02
3.44	2.47
2.58	1.48
2.79	2.69
2.59	2.74
2.54	1.34
2.85	2.03
3.36	2.22
3.88	2.12
4.65	2.27
4.66	2.53
1.61	1.28
2.07	1.12
3.64	1.34
2.20	2.05
2.86	2.67
2.92	2.63
3.75	3.23
4.60	3.91
4.00	1.94
5.17	2.00
2.54	2.48
1.47	0.82
1.66	2.77
3.14	2.24
4.29	2.86
4.31	3.53
0.50	0.57
0.96	0.68
1.99	1.19
3.46	0.44
-0.89	0.08
1.16	2.31
-0.78	-0.52
-2.82	-3.43
0.89	0.84
4.04	4.13
3.50	4.44
3.35	1.50
1.09	2.52
2.47	1.53
3.43	2.89
2.44	2.04
3.99	1.97
2.94	2.70
3.45	2.57
3.96	1.66
-0.44	0.45
3.06	2.06
