1.83	0.22
1.96	1.12
2.08	2.74
2.33	1.96
2.49	2.75
2.62	2.70
2.89	3.04
2.32	1.17
2.50	2.69
0.75	0.29
1.20	-2.53
1.23	-2.71
1.71	-1.21
1.27	-1.05
1.27	5.65
0.61	1.07
1.16	1.32
1.38	0.98
1.68	3.22
-0.01	-5.57
-0.31	-1.37
0.01	2.47
0.29	2.78
-0.87	-8.46
-0.89	-6.46
-0.80	-5.18
-0.90	-4.66
-0.84	-4.70
-0.81	-4.75
-5.11	-4.32
-5.01	-3.17
-9.30	-4.40
-4.83	-1.91
-4.76	-1.81
-4.72	-1.91
-4.51	-1.90
-4.47	0.07
-6.62	-9.12
-4.36	-1.94
-5.87	-7.62
-5.49	-6.90
-6.14	-7.69
-4.24	-1.20
-1.92	-3.12
-3.47	-1.75
-5.05	-9.42
-1.76	-0.13
-1.66	-1.92
-2.01	-1.43
-4.84	-3.26
-2.21	1.29
-2.45	-6.02
-3.44	-1.87
-3.18	0.27
-4.02	-6.01
-3.85	-3.88
-3.64	-1.93
-4.68	-1.98
-3.53	-1.75
-3.41	0.21
-3.29	-3.63
-2.89	1.21
-3.04	-1.57
-6.70	-3.18
-6.47	-1.84
-6.36	-2.09
-6.16	-3.56
-6.21	-1.65
-2.78	-3.27
-3.32	-2.66
-2.93	-2.15
-3.10	-5.67
-2.83	-3.60
-2.86	-3.98
-2.57	-2.02
-2.55	-1.97
-4.50	-3.23
-4.39	-1.91
-3.23	-3.14
-7.40	-11.74
-4.29	-2.45
-4.07	-4.44
-3.66	0.85
-4.70	-12.39
-5.57	-17.05
-5.49	-9.36
-4.63	-11.01
-4.77	-10.89
-4.94	-11.06
-4.68	-5.92
-3.89	-0.38
-3.85	1.15
-3.64	2.71
-4.10	-6.76
-3.71	-3.44
-3.34	-5.31
-3.14	-3.23
-3.08	-3.25
-1.05	1.24
-2.55	-5.29
-1.83	0.11
-1.43	-2.31
-2.73	-4.66
-5.08	-1.89
-6.77	-3.06
-7.17	-11.07
-9.51	-6.62
-10.48	-7.58
-0.11	-0.73
-0.78	-7.02
-1.36	-0.35
-1.07	1.18
-0.63	0.14
-0.25	2.56
-1.95	-2.89
-0.27	1.22
-0.25	1.01
-1.17	-4.15
-0.76	-3.14
-0.39	-2.89
-1.12	-5.26
-1.36	-3.20
-1.01	-2.90
-0.82	-0.75
-2.11	-0.12
-1.98	2.77
-0.70	1.24
-0.56	-2.84
-0.48	1.25
-0.41	-1.37
-0.08	0.49
-1.46	-4.75
-2.30	-2.15
1.79	1.08
-0.50	0.38
3.16	1.23
-0.13	-3.24
0.05	-2.15
1.77	-2.75
-4.31	-2.01
-4.16	0.10
-3.77	-8.81
-7.13	-6.27
-5.11	-1.28
-4.56	-3.14
-6.26	-3.60
-5.51	-13.34
-4.09	0.44
-2.88	-5.96
-3.12	-6.49
-1.42	-4.33
-2.22	-4.44
-0.86	-3.70
-2.37	-3.01
1.69	1.22
0.82	1.23
-3.95	-3.34
-4.74	-9.08
